date,highTemp,avgHighTemp,avgLowTemp,lowTemp,snowfall,snowfallDays
string,number,number,number,number,number,number
Date,Highest temp,Average high temp,Average low temp,Lowest temp,Snowfall,Snowfall Days
1891-01,13.3,3.1,-4.1,-11.1,375.9,6.0
1891-02,16.7,4.1,-4.2,-16.7,299.7,6.0
1891-03,12.8,4.5,-2.6,-16.1,406.4,4.0
1891-04,25.6,13.8,4.0,-2.8,0.0,0.0
1891-05,27.2,18.1,8.4,0.6,0.0,0.0
1891-06,35.6,23.0,13.6,7.2,0.0,0.0
1891-07,32.2,24.7,16.3,13.3,0.0,0.0
1891-08,32.2,24.9,17.3,12.2,0.0,0.0
1891-09,32.2,23.3,15.3,10.0,0.0,0.0
1891-10,28.3,14.8,6.9,-2.2,0.0,0.0
1891-11,18.9,9.0,1.4,-12.8,0.0,0.0
1891-12,17.8,8.6,0.8,-11.7,0.0,0.0
1892-01,17.2,2.1,-6.2,-17.2,317.5,6.0
1892-02,7.8,1.0,-5.0,-15.0,355.6,6.0
1892-03,13.3,4.3,-3.3,-10.0,515.6,5.0
1892-04,25.0,14.1,4.0,-2.8,0.0,0.0
1892-05,25.6,17.3,9.3,3.9,0.0,0.0
1892-06,35.6,25.6,16.1,9.4,0.0,0.0
1892-07,35.6,27.4,18.1,12.2,0.0,0.0
1892-08,34.4,24.9,17.6,12.8,0.0,0.0
1892-09,26.7,21.5,12.4,7.8,0.0,0.0
1892-10,25.6,15.5,7.4,2.2,0.0,0.0
1892-11,18.9,8.4,1.8,-6.7,30.5,2.0
1892-12,8.9,2.4,-4.7,-17.8,63.5,3.0
1893-01,11.7,-2.3,-10.8,-20.0,370.8,11.0
1893-02,11.7,1.8,-7.8,-18.3,896.6,11.0
1893-03,14.4,5.0,-2.9,-10.6,114.3,3.0
1893-04,20.0,11.9,2.3,-3.3,200.7,2.0
1893-05,31.1,18.0,9.1,3.3,0.0,0.0
1893-06,34.4,22.4,14.0,11.1,0.0,0.0
1893-07,32.8,26.9,17.0,12.2,0.0,0.0
1893-08,33.9,24.9,16.9,11.7,0.0,0.0
1893-09,26.7,19.9,11.2,6.1,0.0,0.0
1893-10,26.1,16.8,8.6,-1.1,0.0,0.0
1893-11,20.0,9.9,1.3,-6.7,10.2,2.0
1893-12,13.9,4.0,-6.4,-17.8,469.9,8.0
1894-01,13.3,3.0,-5.2,-16.7,381.0,6.0
1894-02,10.6,1.5,-7.5,-21.7,548.6,7.0
1894-03,21.1,10.2,1.1,-6.7,0.0,0.0
1894-04,26.1,12.5,4.0,-5.0,215.9,3.0
1894-05,31.1,19.5,9.2,3.9,0.0,0.0
1894-06,35.0,26.3,14.8,8.3,0.0,0.0
1894-07,36.1,27.9,18.4,13.3,0.0,0.0
1894-08,32.2,24.4,15.7,8.3,0.0,0.0
1894-09,31.1,22.2,14.3,5.6,0.0,0.0
1894-10,24.4,15.9,8.5,3.3,0.0,0.0
1894-11,18.9,7.5,-0.3,-9.4,162.6,4.0
1894-12,12.8,4.9,-4.0,-13.3,342.9,7.0
1895-01,12.2,2.5,-5.9,-15.6,353.1,7.0
1895-02,7.8,0.9,-8.9,-21.1,223.5,5.0
1895-03,14.4,5.1,-2.2,-10.0,96.5,6.0
1895-04,26.7,12.1,3.4,-2.8,12.7,1.0
1895-05,32.2,21.5,10.1,2.2,0.0,0.0
1895-06,35.6,23.3,15.4,10.0,0.0,0.0
1895-07,29.4,25.0,16.5,12.2,0.0,0.0
1895-08,31.7,26.3,17.0,10.0,0.0,0.0
1895-09,35.6,23.7,13.9,5.6,0.0,0.0
1895-10,21.1,14.4,5.2,0.0,0.0,0.0
1895-11,22.8,11.8,3.3,-6.1,0.0,0.0
1895-12,17.8,6.0,-2.3,-13.3,132.1,3.0
1896-01,7.2,-0.5,-7.5,-23.3,241.3,7.0
1896-02,13.3,2.8,-6.6,-23.9,241.3,7.0
1896-03,17.8,4.2,-4.2,-11.1,368.3,8.0
1896-04,28.9,13.0,3.9,-3.9,0.0,0.0
1896-05,34.4,21.0,10.4,3.3,0.0,0.0
1896-06,33.3,23.6,14.3,9.4,0.0,0.0
1896-07,33.9,26.5,17.8,13.9,0.0,0.0
1896-08,35.0,25.7,17.3,11.1,0.0,0.0
1896-09,32.2,20.9,12.6,4.4,0.0,0.0
1896-10,24.4,13.7,6.5,0.6,0.0,0.0
1896-11,22.2,12.5,3.6,-5.6,55.9,2.0
1896-12,14.4,3.1,-4.9,-15.6,218.4,2.0
1897-01,15.6,2.3,-6.2,-16.7,462.3,3.0
1897-02,11.1,3.1,-4.3,-11.1,276.9,3.0
1897-03,13.9,7.0,-1.5,-13.9,83.8,5.0
1897-04,27.2,14.6,4.3,-6.1,0.0,0.0
1897-05,24.4,18.7,9.8,3.9,0.0,0.0
1897-06,30.6,21.4,12.2,8.3,0.0,0.0
1897-07,34.4,26.2,17.8,12.8,0.0,0.0
1897-08,30.0,25.2,16.6,11.7,0.0,0.0
