date,highTemp,avgHighTemp,avgLowTemp,lowTemp,precip,snowfall,precipDays,snowfallDays
string,number,number,number,number,number,number,number,number
Date,Highest temp,Average high temp,Average low temp,Lowest temp,Precipitation,Snowfall,Precipitation Days,Snowfall Days
1882.0833333333333,19.4,4.2,-7.7,-17.2,14.5,144.8,6.0,6.0
1882.1666666666667,16.1,9.4,-3.1,-12.2,5.1,50.8,3.0,3.0
1882.25,21.7,12.9,-1.5,-12.2,5.1,50.8,2.0,2.0
1882.3333333333333,24.4,14.8,1.8,-6.1,37.3,157.5,10.0,4.0
1882.4166666666667,25.6,17.4,5.9,1.1,75.7,0.0,13.0,0.0
1882.5,31.1,24.7,12.3,6.1,126.0,0.0,15.0,0.0
1882.5833333333333,32.8,29.0,14.4,9.4,16.8,0.0,7.0,0.0
1882.6666666666667,34.4,29.0,15.3,8.3,30.5,0.0,8.0,0.0
1882.75,31.7,24.6,10.3,3.9,1.5,0.0,3.0,0.0
1882.8333333333333,24.4,17.5,4.1,-2.8,19.0,0.0,6.0,0.0
1882.9166666666667,18.3,10.0,-3.2,-20.0,18.0,167.6,4.0,3.0
1883.0,17.8,8.0,-4.1,-18.9,18.5,172.7,8.0,7.0
1883.0833333333333,16.1,4.2,-8.9,-28.9,59.7,520.7,7.0,7.0
1883.1666666666667,13.3,1.3,-12.2,-30.0,11.4,114.3,3.0,3.0
1883.25,21.1,13.5,-0.5,-7.8,5.3,7.6,4.0,1.0
1883.3333333333333,22.8,13.6,1.1,-5.6,78.7,281.9,13.0,3.0
1883.4166666666667,26.1,19.2,5.5,0.0,109.2,0.0,12.0,0.0
1883.5,32.8,24.8,11.3,2.8,21.6,0.0,8.0,0.0
1883.5833333333333,35.6,28.2,14.8,11.1,57.7,0.0,12.0,0.0
1883.6666666666667,32.8,28.6,14.9,10.0,19.0,0.0,5.0,0.0
1883.75,31.1,23.7,10.1,4.4,27.4,0.0,9.0,0.0
1883.8333333333333,23.9,14.2,2.6,-3.9,37.8,43.2,7.0,2.0
1883.9166666666667,22.8,13.5,-0.5,-5.0,8.1,7.6,3.0,1.0
