date,highTemp,avgHighTemp,avgLowTemp,lowTemp,precip,snowfall,precipDays,snowfallDays
string,number,number,number,number,number,number,number,number
Date,Highest temp,Average high temp,Average low temp,Lowest temp,Precipitation,Snowfall,Precipitation Days,Snowfall Days
1885.0833333333333,11.7,-0.6,-9.8,-21.7,48.0,355.6,13,15.0
1885.1666666666667,10.0,-2.5,-13.9,-24.4,32.0,381.0,14,10.0
1885.25,12.8,1.4,-7.7,-18.9,16.8,203.2,10,10.0
1885.3333333333333,25.0,12.2,2.6,-6.7,44.2,203.2,12,4.0
1885.4166666666667,26.7,18.7,9.2,-1.1,92.7,0.0,13,0.0
1885.5,30.6,24.3,13.5,6.7,85.3,,11,
1885.5833333333333,32.2,28.9,18.3,12.2,71.9,,11,
1885.6666666666667,30.0,23.4,15.3,8.9,128.3,,14,
1885.75,27.2,21.6,12.7,5.0,39.1,,5,
1885.8333333333333,22.2,14.4,6.5,-2.2,42.7,0.0,14,0.0
1885.9166666666667,19.4,8.7,2.8,-1.7,55.6,12.7,19,3.0
1886.0,12.8,4.3,-3.1,-17.2,58.4,248.9,16,10.0
1886.0833333333333,12.8,-0.6,-8.2,-20.0,48.8,289.6,20,13.0
1886.1666666666667,12.2,2.1,-7.0,-19.4,33.0,86.4,12,9.0
1886.25,16.1,6.3,-1.8,-14.4,43.2,147.3,15,6.0
1886.3333333333333,27.8,15.0,6.2,-5.0,83.8,652.8,11,4.0
1886.4166666666667,28.3,20.0,10.0,4.4,59.2,0.0,13,0.0
1886.5,31.7,24.4,14.7,9.4,52.6,,10,
1886.5833333333333,33.3,26.8,17.1,11.7,62.2,,6,
1886.6666666666667,31.7,25.8,17.3,11.1,51.3,,10,
1886.75,29.4,22.7,14.2,6.1,106.7,,13,
1886.8333333333333,25.0,17.2,8.9,2.2,26.4,0.0,7,0.0
1886.9166666666667,18.3,7.6,-0.1,-7.2,55.1,15.2,14,4.0
1887.0,11.1,-0.9,-8.0,-16.7,56.1,528.3,16,13.0
1887.0833333333333,12.2,-1.2,-8.9,-19.4,33.3,487.7,17,13.0
